surface_a,surface_b,token_similarity,char_similarity,decision_zone,proposed_decision,ground_truth_decision,outcome,correct,pair_type,expected_merge_decision,explanation
Progress_Circle_Delta,Progress_Circle_Delta_Group,0.75,0.875,auto_merge,merge,merge,correct_auto_merge,True,true_alias,merge,token similarity 0.75 reaches the auto-merge threshold; the aliases are linked (correct_auto_merge).
Heritage_Board_Sigma,Heritage_Board_Sigma_Group,0.75,0.87,auto_merge,merge,merge,correct_auto_merge,True,true_alias,merge,token similarity 0.75 reaches the auto-merge threshold; the aliases are linked (correct_auto_merge).
Unity_Coalition_Omega,Unity_Coalition_Omega_Group,0.75,0.875,auto_merge,merge,merge,correct_auto_merge,True,true_alias,merge,token similarity 0.75 reaches the auto-merge threshold; the aliases are linked (correct_auto_merge).
Frontier_Institute_Theta,Frontier_Institute_Theta_Group,0.75,0.889,auto_merge,merge,merge,correct_auto_merge,True,true_alias,merge,token similarity 0.75 reaches the auto-merge threshold; the aliases are linked (correct_auto_merge).
Summit_Trust_Lambda,Summit_Trust_Lambda_Group,0.75,0.864,auto_merge,merge,merge,correct_auto_merge,True,true_alias,merge,token similarity 0.75 reaches the auto-merge threshold; the aliases are linked (correct_auto_merge).
Pioneer_Society_Kappa,Pioneer_Society_Kappa_Group,0.75,0.875,auto_merge,merge,merge,correct_auto_merge,True,true_alias,merge,token similarity 0.75 reaches the auto-merge threshold; the aliases are linked (correct_auto_merge).
Anchor_Union_Zeta,Anchor_Union_Zeta_Group,0.75,0.85,auto_merge,merge,merge,correct_auto_merge,True,true_alias,merge,token similarity 0.75 reaches the auto-merge threshold; the aliases are linked (correct_auto_merge).
Beacon_Partnership_Eta,Beacon_Partnership_Eta_Group,0.75,0.88,auto_merge,merge,merge,correct_auto_merge,True,true_alias,merge,token similarity 0.75 reaches the auto-merge threshold; the aliases are linked (correct_auto_merge).
Cardinal_Assembly_Iota,Cardinal_Assembly_Iota_Group,0.75,0.88,auto_merge,merge,merge,correct_auto_merge,True,true_alias,merge,token similarity 0.75 reaches the auto-merge threshold; the aliases are linked (correct_auto_merge).
Meridian_Foundation_Mu,Meridian_Foundation_Mu_Group,0.75,0.88,auto_merge,merge,merge,correct_auto_merge,True,true_alias,merge,token similarity 0.75 reaches the auto-merge threshold; the aliases are linked (correct_auto_merge).
Vanguard_Alliance_Nu,Vanguard_Alliance_Nu_Group,0.75,0.87,auto_merge,merge,merge,correct_auto_merge,True,true_alias,merge,token similarity 0.75 reaches the auto-merge threshold; the aliases are linked (correct_auto_merge).
Common_League_Gamma,Gamma_Common_Network,0.5,0.41,refer_to_human,do_not_merge,merge,referred_true_alias,False,true_alias,merge,"token similarity 0.50 falls in the ambiguous band, so the pair - a true-alias pair - is referred to the human review queue rather than decided automatically (referred)."
Pioneer_Society_Kappa,Kappa_Pioneer_Network,0.5,0.524,refer_to_human,do_not_merge,merge,referred_true_alias,False,true_alias,merge,"token similarity 0.50 falls in the ambiguous band, so the pair - a true-alias pair - is referred to the human review queue rather than decided automatically (referred)."
Common_League_Gamma_Group,Gamma_Common_Network,0.4,0.4,refer_to_human,do_not_merge,merge,referred_true_alias,False,true_alias,merge,"token similarity 0.40 falls in the ambiguous band, so the pair - a true-alias pair - is referred to the human review queue rather than decided automatically (referred)."
Pioneer_Society_Kappa_Group,Kappa_Pioneer_Network,0.4,0.458,refer_to_human,do_not_merge,merge,referred_true_alias,False,true_alias,merge,"token similarity 0.40 falls in the ambiguous band, so the pair - a true-alias pair - is referred to the human review queue rather than decided automatically (referred)."
