surface_a,surface_b,token_similarity,char_similarity,decision_zone,proposed_decision,ground_truth_decision,outcome,correct,pair_type
Health_Alliance_Alpha,National_Choice_Branch,0.0,0.372,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Health_Alliance_Alpha,National_Choice_Branches,0.0,0.356,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Health_Alliance_Alpha,Open_Forum_Alpha,0.2,0.432,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Health_Alliance_Alpha,Open_Forum_Beta,0.0,0.111,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Health_Alliance_Alpha,Future_Council_Branch,0.0,0.333,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Health_Alliance_Alpha,Future_Council_Branches,0.0,0.318,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Health_Alliance_Alpha,Common_League_Gamma,0.0,0.3,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Health_Alliance_Alpha,Common_League_Gamma_Group,0.0,0.261,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Health_Alliance_Alpha,Gamma_Common_Network,0.0,0.098,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Health_Alliance_Alpha,Progress_Circle_Delta,0.0,0.19,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Health_Alliance_Alpha,Progress_Circle_Delta_Group,0.0,0.208,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Health_Alliance_Alpha,Heritage_Board_Sigma,0.0,0.341,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Health_Alliance_Alpha,Heritage_Board_Sigma_Group,0.0,0.298,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Health_Alliance_Alpha,Unity_Coalition_Omega,0.0,0.238,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Health_Alliance_Alpha,Unity_Coalition_Omega_Group,0.0,0.292,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Health_Alliance_Alpha,Frontier_Institute_Theta,0.0,0.133,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Health_Alliance_Alpha,Frontier_Institute_Theta_Group,0.0,0.196,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Health_Alliance_Alpha,Summit_Trust_Lambda,0.0,0.1,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Health_Alliance_Alpha,Summit_Trust_Lambda_Group,0.0,0.13,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Health_Alliance_Alpha,Pioneer_Society_Kappa,0.0,0.143,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Health_Alliance_Alpha,Pioneer_Society_Kappa_Group,0.0,0.167,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Health_Alliance_Alpha,Kappa_Pioneer_Network,0.0,0.095,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Health_Alliance_Alpha,Anchor_Union_Zeta,0.0,0.263,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Health_Alliance_Alpha,Anchor_Union_Zeta_Group,0.0,0.273,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Health_Alliance_Alpha,Beacon_Partnership_Eta,0.0,0.279,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Health_Alliance_Alpha,Beacon_Partnership_Eta_Group,0.0,0.327,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Health_Alliance_Alpha,Cardinal_Assembly_Iota,0.0,0.326,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Health_Alliance_Alpha,Cardinal_Assembly_Iota_Group,0.0,0.367,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Health_Alliance_Alpha,Meridian_Foundation_Mu,0.0,0.279,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Health_Alliance_Alpha,Meridian_Foundation_Mu_Group,0.0,0.286,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Health_Alliance_Alpha,Vanguard_Alliance_Nu,0.2,0.537,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Health_Alliance_Alpha,Vanguard_Alliance_Nu_Group,0.167,0.511,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Health_Alliance_Beta,Public_Choice_Branch,0.0,0.35,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Health_Alliance_Beta,Public_Choice_Branches,0.0,0.333,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Health_Alliance_Beta,Civic_Forum_Alpha,0.0,0.216,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Health_Alliance_Beta,Civic_Forum_Beta,0.2,0.333,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Health_Alliance_Beta,Policy_Council_Branch,0.0,0.244,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Health_Alliance_Beta,Policy_Council_Branches,0.0,0.279,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Health_Alliance_Beta,Wellness_League_Alpha,0.0,0.293,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Health_Alliance_Beta,Wellness_League_Beta,0.2,0.4,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Health_Alliance_Beta,Reform_Circle_Branch,0.0,0.3,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Health_Alliance_Beta,Reform_Circle_Branches,0.0,0.333,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Health_Alliance_Beta,Liberty_Board_Alpha,0.0,0.308,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Health_Alliance_Beta,Liberty_Board_Beta,0.2,0.421,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Health_Alliance_Beta,Standards_Coalition_Branch,0.0,0.304,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Health_Alliance_Beta,Standards_Coalition_Branches,0.0,0.333,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Health_Alliance_Beta,Data_Institute_Alpha,0.0,0.25,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Health_Alliance_Beta,Data_Institute_Beta,0.2,0.564,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Health_Alliance_Beta,Citizen_Trust_Branch,0.0,0.3,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Health_Alliance_Beta,Citizen_Trust_Branches,0.0,0.333,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Health_Alliance_Beta,Research_Society_Alpha,0.0,0.333,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Health_Alliance_Beta,Research_Society_Beta,0.2,0.537,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Health_Alliance_Beta,Market_Union_Branch,0.0,0.359,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Health_Alliance_Beta,Market_Union_Branches,0.0,0.39,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Health_Alliance_Beta,Consumer_Partnership_Alpha,0.0,0.217,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Health_Alliance_Beta,Consumer_Partnership_Beta,0.2,0.311,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Health_Alliance_Beta,Global_Assembly_Branch,0.0,0.381,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Health_Alliance_Beta,Global_Assembly_Branches,0.0,0.409,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Health_Alliance_Beta,Regional_Foundation_Alpha,0.0,0.356,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Health_Alliance_Beta,Regional_Foundation_Beta,0.2,0.5,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Health_Alliance_Beta,National_Choice_Branch,0.0,0.429,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Health_Alliance_Beta,National_Choice_Branches,0.0,0.409,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Health_Alliance_Beta,Open_Forum_Alpha,0.0,0.278,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Health_Alliance_Beta,Open_Forum_Beta,0.2,0.4,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Health_Alliance_Beta,Future_Council_Branch,0.0,0.293,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Health_Alliance_Beta,Future_Council_Branches,0.0,0.326,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Health_Alliance_Beta,Common_League_Gamma,0.0,0.256,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Health_Alliance_Beta,Common_League_Gamma_Group,0.0,0.222,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Health_Alliance_Beta,Gamma_Common_Network,0.0,0.3,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Health_Alliance_Beta,Progress_Circle_Delta,0.0,0.195,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Health_Alliance_Beta,Progress_Circle_Delta_Group,0.0,0.17,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Health_Alliance_Beta,Heritage_Board_Sigma,0.0,0.35,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Health_Alliance_Beta,Heritage_Board_Sigma_Group,0.0,0.304,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Health_Alliance_Beta,Unity_Coalition_Omega,0.0,0.244,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Health_Alliance_Beta,Unity_Coalition_Omega_Group,0.0,0.255,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Health_Alliance_Beta,Frontier_Institute_Theta,0.0,0.273,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Health_Alliance_Beta,Frontier_Institute_Theta_Group,0.0,0.24,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Health_Alliance_Beta,Summit_Trust_Lambda,0.0,0.103,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Health_Alliance_Beta,Summit_Trust_Lambda_Group,0.0,0.089,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Health_Alliance_Beta,Pioneer_Society_Kappa,0.0,0.293,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Health_Alliance_Beta,Pioneer_Society_Kappa_Group,0.0,0.255,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Health_Alliance_Beta,Kappa_Pioneer_Network,0.0,0.244,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Health_Alliance_Beta,Anchor_Union_Zeta,0.0,0.378,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Health_Alliance_Beta,Anchor_Union_Zeta_Group,0.0,0.326,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Health_Alliance_Beta,Beacon_Partnership_Eta,0.0,0.381,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Health_Alliance_Beta,Beacon_Partnership_Eta_Group,0.0,0.333,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Health_Alliance_Beta,Cardinal_Assembly_Iota,0.0,0.381,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Health_Alliance_Beta,Cardinal_Assembly_Iota_Group,0.0,0.333,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Health_Alliance_Beta,Meridian_Foundation_Mu,0.0,0.286,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Health_Alliance_Beta,Meridian_Foundation_Mu_Group,0.0,0.25,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Health_Alliance_Beta,Vanguard_Alliance_Nu,0.2,0.55,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Health_Alliance_Beta,Vanguard_Alliance_Nu_Group,0.167,0.478,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Public_Choice_Branch,Public_Choice_Branches,0.5,0.952,refer_to_human,do_not_merge,do_not_merge,referred_distinct_pair,True,false_friend
Public_Choice_Branch,Civic_Forum_Alpha,0.0,0.27,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Public_Choice_Branch,Civic_Forum_Beta,0.0,0.389,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Public_Choice_Branch,Policy_Council_Branch,0.2,0.732,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Public_Choice_Branch,Policy_Council_Branches,0.0,0.698,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Public_Choice_Branch,Wellness_League_Alpha,0.0,0.244,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Public_Choice_Branch,Wellness_League_Beta,0.0,0.25,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Public_Choice_Branch,Reform_Circle_Branch,0.2,0.6,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Public_Choice_Branch,Reform_Circle_Branches,0.0,0.571,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Public_Choice_Branch,Liberty_Board_Alpha,0.0,0.41,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Public_Choice_Branch,Liberty_Board_Beta,0.0,0.368,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Public_Choice_Branch,Standards_Coalition_Branch,0.2,0.435,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Public_Choice_Branch,Standards_Coalition_Branches,0.0,0.417,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Public_Choice_Branch,Data_Institute_Alpha,0.0,0.25,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Public_Choice_Branch,Data_Institute_Beta,0.0,0.256,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Public_Choice_Branch,Citizen_Trust_Branch,0.2,0.4,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Public_Choice_Branch,Citizen_Trust_Branches,0.0,0.381,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Public_Choice_Branch,Research_Society_Alpha,0.0,0.381,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Public_Choice_Branch,Research_Society_Beta,0.0,0.39,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Public_Choice_Branch,Market_Union_Branch,0.2,0.513,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Public_Choice_Branch,Market_Union_Branches,0.0,0.488,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Public_Choice_Branch,Consumer_Partnership_Alpha,0.0,0.174,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Public_Choice_Branch,Consumer_Partnership_Beta,0.0,0.222,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Public_Choice_Branch,Global_Assembly_Branch,0.2,0.429,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Public_Choice_Branch,Global_Assembly_Branches,0.0,0.409,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Public_Choice_Branch,Regional_Foundation_Alpha,0.0,0.133,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Public_Choice_Branch,Regional_Foundation_Beta,0.0,0.273,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Public_Choice_Branch,National_Choice_Branch,0.5,0.714,refer_to_human,do_not_merge,do_not_merge,referred_distinct_pair,True,false_friend
Public_Choice_Branch,National_Choice_Branches,0.2,0.682,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Public_Choice_Branch,Open_Forum_Alpha,0.0,0.278,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Public_Choice_Branch,Open_Forum_Beta,0.0,0.286,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Public_Choice_Branch,Future_Council_Branch,0.2,0.585,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Public_Choice_Branch,Future_Council_Branches,0.0,0.558,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Public_Choice_Branch,Common_League_Gamma,0.0,0.205,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Public_Choice_Branch,Common_League_Gamma_Group,0.0,0.178,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Public_Choice_Branch,Gamma_Common_Network,0.0,0.25,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Public_Choice_Branch,Progress_Circle_Delta,0.0,0.39,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Public_Choice_Branch,Progress_Circle_Delta_Group,0.0,0.34,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Public_Choice_Branch,Heritage_Board_Sigma,0.0,0.3,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Public_Choice_Branch,Heritage_Board_Sigma_Group,0.0,0.261,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Public_Choice_Branch,Unity_Coalition_Omega,0.0,0.341,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Public_Choice_Branch,Unity_Coalition_Omega_Group,0.0,0.34,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Public_Choice_Branch,Frontier_Institute_Theta,0.0,0.182,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Public_Choice_Branch,Frontier_Institute_Theta_Group,0.0,0.16,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Public_Choice_Branch,Summit_Trust_Lambda,0.0,0.154,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Public_Choice_Branch,Summit_Trust_Lambda_Group,0.0,0.044,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Public_Choice_Branch,Pioneer_Society_Kappa,0.0,0.244,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Public_Choice_Branch,Pioneer_Society_Kappa_Group,0.0,0.085,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Public_Choice_Branch,Kappa_Pioneer_Network,0.0,0.244,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Public_Choice_Branch,Anchor_Union_Zeta,0.0,0.216,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Public_Choice_Branch,Anchor_Union_Zeta_Group,0.0,0.186,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Public_Choice_Branch,Beacon_Partnership_Eta,0.0,0.238,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Public_Choice_Branch,Beacon_Partnership_Eta_Group,0.0,0.083,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Public_Choice_Branch,Cardinal_Assembly_Iota,0.0,0.238,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Public_Choice_Branch,Cardinal_Assembly_Iota_Group,0.0,0.208,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Public_Choice_Branch,Meridian_Foundation_Mu,0.0,0.19,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Public_Choice_Branch,Meridian_Foundation_Mu_Group,0.0,0.167,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Public_Choice_Branch,Vanguard_Alliance_Nu,0.0,0.35,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Public_Choice_Branch,Vanguard_Alliance_Nu_Group,0.0,0.304,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Public_Choice_Branches,Civic_Forum_Alpha,0.0,0.256,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Public_Choice_Branches,Civic_Forum_Beta,0.0,0.368,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Public_Choice_Branches,Policy_Council_Branch,0.0,0.698,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Public_Choice_Branches,Policy_Council_Branches,0.2,0.756,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Public_Choice_Branches,Wellness_League_Alpha,0.0,0.233,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Public_Choice_Branches,Wellness_League_Beta,0.0,0.238,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Public_Choice_Branches,Reform_Circle_Branch,0.0,0.571,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Public_Choice_Branches,Reform_Circle_Branches,0.2,0.636,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Public_Choice_Branches,Liberty_Board_Alpha,0.0,0.39,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Public_Choice_Branches,Liberty_Board_Beta,0.0,0.35,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Public_Choice_Branches,Standards_Coalition_Branch,0.0,0.417,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Public_Choice_Branches,Standards_Coalition_Branches,0.2,0.48,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Public_Choice_Branches,Data_Institute_Alpha,0.0,0.238,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Public_Choice_Branches,Data_Institute_Beta,0.0,0.244,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Public_Choice_Branches,Citizen_Trust_Branch,0.0,0.381,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Public_Choice_Branches,Citizen_Trust_Branches,0.2,0.455,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Public_Choice_Branches,Research_Society_Alpha,0.0,0.364,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Public_Choice_Branches,Research_Society_Beta,0.0,0.372,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Public_Choice_Branches,Market_Union_Branch,0.0,0.488,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Public_Choice_Branches,Market_Union_Branches,0.2,0.558,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
Public_Choice_Branches,Consumer_Partnership_Alpha,0.0,0.167,keep_separate,do_not_merge,do_not_merge,correct_keep_separate,True,false_friend
